,Unnamed: 0,country,club_name,club_code,link,gender,year,counter,link_image_club
30,30,Austria Football Clubs,SC-Austria-Lustenau,b43d1132,https://fbref.com/en/squads/b43d1132/2022-2023/all_comps/SC-Austria-Lustenau-Stats-All-Competitions,Male,2022,150,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/b43d1132.png
31,31,Austria Football Clubs,Rheindorf-Altach,80beba99,https://fbref.com/en/squads/80beba99/2022-2023/all_comps/Rheindorf-Altach-Stats-All-Competitions,Male,2022,151,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/80beba99.png
32,32,Austria Football Clubs,SK-Austria-Klagenfurt,7030fffd,https://fbref.com/en/squads/7030fffd/2022-2023/all_comps/SK-Austria-Klagenfurt-Stats-All-Competitions,Male,2022,155,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/7030fffd.png
33,33,Austria Football Clubs,Rapid-Wien,912e4c40,https://fbref.com/en/squads/912e4c40/2022-2023/all_comps/Rapid-Wien-Stats-All-Competitions,Male,2022,156,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/912e4c40.png
34,34,Austria Football Clubs,Sturm-Graz-Women,07787bf7,https://fbref.com/en/squads/07787bf7/2022-2023/all_comps/Sturm-Graz-Women-Stats-All-Competitions,Female,2022,157,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/07787bf7.png
35,35,Austria Football Clubs,Sturm-Graz,3f4fe568,https://fbref.com/en/squads/3f4fe568/2022-2023/all_comps/Sturm-Graz-Stats-All-Competitions,Male,2022,158,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/3f4fe568.png
36,36,Austria Football Clubs,St-Polten-Women,3d377a8c,https://fbref.com/en/squads/3d377a8c/2022-2023/all_comps/St-Polten-Women-Stats-All-Competitions,Female,2022,162,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/3d377a8c.png
37,37,Austria Football Clubs,SKV-Altenmarkt,15cda631,https://fbref.com/en/squads/15cda631/2022-2023/all_comps/SKV-Altenmarkt-Stats-All-Competitions,Female,2022,163,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/15cda631.png
38,38,Austria Football Clubs,SPG-UNION-KleinmunchenBW-Linz,f59ec0ea,https://fbref.com/en/squads/f59ec0ea/2022-2023/all_comps/SPG-UNION-KleinmunchenBW-Linz-Stats-All-Competitions,Female,2022,164,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/f59ec0ea.png
39,39,Austria Football Clubs,SV-Neulengbach,e21816f2,https://fbref.com/en/squads/e21816f2/2022-2023/all_comps/SV-Neulengbach-Stats-All-Competitions,Female,2022,168,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/e21816f2.png
40,40,Austria Football Clubs,Ried,8bb8811f,https://fbref.com/en/squads/8bb8811f/2022-2023/all_comps/Ried-Stats-All-Competitions,Male,2022,169,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/8bb8811f.png
41,41,Austria Football Clubs,Hartberg,f6d9c820,https://fbref.com/en/squads/f6d9c820/2022-2023/all_comps/Hartberg-Stats-All-Competitions,Male,2022,170,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/f6d9c820.png
42,42,Austria Football Clubs,Landhaus,60942bd8,https://fbref.com/en/squads/60942bd8/2022-2023/all_comps/Landhaus-Stats-All-Competitions,Female,2022,171,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/60942bd8.png
43,43,Austria Football Clubs,Wolfsberger-AC,426658a6,https://fbref.com/en/squads/426658a6/2022-2023/all_comps/Wolfsberger-AC-Stats-All-Competitions,Male,2022,172,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/426658a6.png
44,44,Austria Football Clubs,WSG-Tirol,c63dd2d5,https://fbref.com/en/squads/c63dd2d5/2022-2023/all_comps/WSG-Tirol-Stats-All-Competitions,Male,2022,173,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/c63dd2d5.png
45,45,Azerbaijan Football Clubs,Qarabag-FK,44b65410,https://fbref.com/en/squads/44b65410/2022-2023/all_comps/Qarabag-FK-Stats-All-Competitions,Male,2022,183,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/44b65410.png
46,46,Belgium Football Clubs,Cercle-Brugge,e8d2adc4,https://fbref.com/en/squads/e8d2adc4/2022-2023/all_comps/Cercle-Brugge-Stats-All-Competitions,Male,2022,215,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/e8d2adc4.png
47,47,Belgium Football Clubs,Club-Brugge-Women,7664737,https://fbref.com/en/squads/07664737/2022-2023/all_comps/Club-Brugge-Women-Stats-All-Competitions,Female,2022,216,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/07664737.png
48,48,Belgium Football Clubs,Club-Brugge,f1e6c5f1,https://fbref.com/en/squads/f1e6c5f1/2022-2023/all_comps/Club-Brugge-Stats-All-Competitions,Male,2022,217,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/f1e6c5f1.png
49,49,Belgium Football Clubs,Club-NXT,ad590ea7,https://fbref.com/en/squads/ad590ea7/2022-2023/all_comps/Club-NXT-Stats-All-Competitions,Male,2022,220,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/ad590ea7.png
50,50,Belgium Football Clubs,DVL-Zonhoven,eac05419,https://fbref.com/en/squads/eac05419/2022-2023/all_comps/DVL-Zonhoven-Stats-All-Competitions,Female,2022,221,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/eac05419.png
51,51,Belgium Football Clubs,White-Star,a697eb08,https://fbref.com/en/squads/a697eb08/2022-2023/all_comps/White-Star-Stats-All-Competitions,Female,2022,223,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/a697eb08.png
52,52,Belgium Football Clubs,Dender,868afa3f,https://fbref.com/en/squads/868afa3f/2022-2023/all_comps/Dender-Stats-All-Competitions,Male,2022,224,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/868afa3f.png
53,53,Belgium Football Clubs,Gent,51e5a603,https://fbref.com/en/squads/51e5a603/2022-2023/all_comps/Gent-Stats-All-Competitions,Male,2022,226,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/51e5a603.png
54,54,Belgium Football Clubs,KAA-La-Gantoise,5cc94039,https://fbref.com/en/squads/5cc94039/2022-2023/all_comps/KAA-La-Gantoise-Stats-All-Competitions,Female,2022,227,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/5cc94039.png
55,55,Belgium Football Clubs,Eupen,5809ddc3,https://fbref.com/en/squads/5809ddc3/2022-2023/all_comps/Eupen-Stats-All-Competitions,Male,2022,228,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/5809ddc3.png
