,Unnamed: 0,Player,Nation,Pos,Age,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Matches,team,MP,country_full_name
125,125,Renee Pountney,AUS,"DF,MF",22.0,2.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-Jets-Women,,Australia
126,126,Emma Olsen,null,GK,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle-Jets-Women,,null
127,127,Squad Total,null,nan,24.9,18.0,198,1620.0,18.0,22.0,16.0,38.0,21.0,1.0,1.0,28.0,1.0,24.3,23.5,18.4,42.0,195.0,521.0,509.0,1.22,0.89,2.11,1.17,2.06,1.35,1.02,2.38,1.31,2.33,,Newcastle-Jets-Women,,null
128,128,Opponent Total,null,nan,23.8,18.0,198,1620.0,18.0,52.0,35.0,87.0,47.0,5.0,7.0,23.0,0.0,36.1,30.5,21.7,52.2,308.0,691.0,679.0,2.89,1.94,4.83,2.61,4.56,2.0,1.2,3.21,1.7,2.9,,Newcastle-Jets-Women,,null
129,129,Liz Anton,NZL,DF,23.0,18.0,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.2,1.2,7.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches,Perth-Glory-Women,,New Zealand
130,130,Natasha Rigby,AUS,DF,29.0,18.0,18,1619.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.4,1.2,27.0,51.0,45.0,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,Matches,Perth-Glory-Women,,Australia
131,131,Hana Lowry,AUS,"FW,MF",19.0,18.0,18,1579.0,17.5,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,3.8,7.8,16.0,59.0,58.0,0.23,0.28,0.51,0.23,0.51,0.23,0.22,0.45,0.23,0.45,Matches,Perth-Glory-Women,,Australia
132,132,Kim Carroll,AUS,DF,34.0,17.0,17,1522.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,2.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Perth-Glory-Women,,Australia
133,133,Sofia Sakalis,AUS,"FW,MF",20.0,18.0,15,1156.0,12.8,1.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,2.7,1.2,1.0,2.2,24.0,49.0,63.0,0.08,0.0,0.08,0.0,0.0,0.21,0.08,0.29,0.09,0.17,Matches,Perth-Glory-Women,,Australia
134,134,Cyera Hintzen,USA,FW,24.0,18.0,14,1349.0,15.0,6.0,7.0,13.0,6.0,0.0,0.0,0.0,0.0,3.1,3.1,3.1,6.2,27.0,32.0,117.0,0.4,0.47,0.87,0.4,0.87,0.21,0.2,0.41,0.21,0.41,Matches,Perth-Glory-Women,,United States
135,135,Sadie Lawrence,AUS,"DF,MF",29.0,15.0,14,1203.0,13.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,1.0,28.0,8.0,0.07,0.0,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05,Matches,Perth-Glory-Women,,Australia
136,136,Ella Mastrantonio,AUS,MF,30.0,15.0,12,977.0,10.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.9,1.0,0.0,52.0,10.0,0.0,0.18,0.18,0.0,0.18,0.01,0.08,0.09,0.01,0.09,Matches,Perth-Glory-Women,,Australia
137,137,Sarah Willacy,AUS,GK,27.0,11.0,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Perth-Glory-Women,,Australia
138,138,Isabella Foletta,AUS,DF,22.0,11.0,11,893.0,9.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.7,1.1,12.0,30.0,12.0,0.1,0.1,0.2,0.1,0.2,0.03,0.08,0.11,0.03,0.11,Matches,Perth-Glory-Women,,Australia
139,139,Sarah Cain,AUS,MF,22.0,14.0,9,683.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.2,0.3,0.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,Perth-Glory-Women,,Australia
